,userid,age,dob_day,dob_year,dob_month,gender,tenure,friend_count,friendships_initiated,likes,likes_received,mobile_likes,mobile_likes_received,www_likes,www_likes_received,ratio
2103,1661466,18,4,1995,6,female,17.0,1,1,0,0,0,0,0,0,1.0
2106,2063426,18,6,1995,7,female,215.0,1,1,0,0,0,0,0,0,1.0
2113,2007764,18,25,1995,9,female,370.0,1,1,0,0,0,0,0,0,1.0
2114,1731842,18,23,1995,9,female,330.0,1,1,0,0,0,0,0,0,1.0
2118,1246581,20,5,1993,11,female,710.0,1,1,0,0,0,0,0,0,1.0
2122,1432986,20,24,1993,12,female,127.0,1,1,0,0,0,0,0,0,1.0
2124,1829004,19,2,1994,1,female,496.0,1,0,0,0,0,0,0,0,0.0
2125,1803835,19,17,1994,1,female,441.0,1,1,0,0,0,0,0,0,1.0
2129,1917250,19,1,1994,1,female,130.0,1,1,0,0,0,0,0,0,1.0
2135,1091597,19,11,1994,3,female,274.0,1,0,0,0,0,0,0,0,0.0
2137,2018925,19,10,1994,3,female,174.0,1,1,0,0,0,0,0,0,1.0
2147,1119539,19,26,1994,10,female,86.0,1,0,0,0,0,0,0,0,0.0
2155,2002571,21,5,1992,12,female,692.0,1,0,0,0,0,0,0,0,0.0
2158,1223939,20,23,1993,1,female,432.0,1,0,0,0,0,0,0,0,0.0
2159,1853836,20,4,1993,1,female,386.0,1,1,0,0,0,0,0,0,1.0
2162,1322716,20,13,1993,1,female,6.0,1,1,0,0,0,0,0,0,1.0
2167,1319837,20,10,1993,2,female,58.0,1,0,0,0,0,0,0,0,0.0
2169,1579624,20,8,1993,3,female,348.0,1,1,0,2,0,0,0,2,1.0
2170,1025843,20,22,1993,3,female,218.0,1,1,0,0,0,0,0,0,1.0
2173,2112190,20,10,1993,5,female,184.0,1,0,0,0,0,0,0,0,0.0
2174,2000417,20,27,1993,5,female,90.0,1,0,0,0,0,0,0,0,0.0
2175,1238093,20,1,1993,5,female,344.0,1,1,0,0,0,0,0,0,1.0
2176,1200615,20,6,1993,6,female,1.0,1,1,0,0,0,0,0,0,1.0
2182,2023671,20,18,1993,8,female,440.0,1,0,0,0,0,0,0,0,0.0
2183,1370226,20,26,1993,8,female,311.0,1,0,0,0,0,0,0,0,0.0
2188,1120994,20,22,1993,10,female,157.0,1,0,0,0,0,0,0,0,0.0
2191,1806758,20,23,1993,10,female,8.0,1,1,0,0,0,0,0,0,1.0
2192,2062090,22,11,1991,11,female,890.0,1,1,0,0,0,0,0,0,1.0
2193,1507565,22,18,1991,11,female,740.0,1,0,0,0,0,0,0,0,0.0
2194,1838133,22,13,1991,11,female,412.0,1,1,0,1,0,0,0,1,1.0
2197,1403958,22,12,1991,12,female,28.0,1,1,0,0,0,0,0,0,1.0
2198,1842135,21,27,1992,1,female,245.0,1,1,0,0,0,0,0,0,1.0
2203,1397367,21,2,1992,2,female,518.0,1,1,0,0,0,0,0,0,1.0
2204,1258542,21,19,1992,2,female,359.0,1,1,0,0,0,0,0,0,1.0
2206,2019753,21,26,1992,2,female,21.0,1,1,0,0,0,0,0,0,1.0
2217,1012839,21,16,1992,5,female,397.0,1,1,0,0,0,0,0,0,1.0
2219,1390670,21,19,1992,5,female,313.0,1,1,0,0,0,0,0,0,1.0
2222,1788315,21,5,1992,6,female,302.0,1,0,0,0,0,0,0,0,0.0
2223,1654706,21,1,1992,6,female,56.0,1,1,0,0,0,0,0,0,1.0
2224,1199622,21,10,1992,7,female,314.0,1,1,0,0,0,0,0,0,1.0
2228,1296820,21,28,1992,10,female,124.0,1,1,0,0,0,0,0,0,1.0
2230,2008255,21,21,1992,10,female,25.0,1,1,0,0,0,0,0,0,1.0
2233,1146819,23,16,1990,12,female,248.0,1,0,0,0,0,0,0,0,0.0
2236,2097137,22,4,1991,1,female,386.0,1,1,0,0,0,0,0,0,1.0
2242,2148355,22,26,1991,3,female,508.0,1,0,0,0,0,0,0,0,0.0
2243,1102374,22,4,1991,4,female,763.0,1,1,0,0,0,0,0,0,1.0
2244,1584204,22,22,1991,4,female,570.0,1,1,0,0,0,0,0,0,1.0
2248,1407007,22,26,1991,5,female,194.0,1,1,0,0,0,0,0,0,1.0
2249,1726959,22,8,1991,5,female,14.0,1,1,0,0,0,0,0,0,1.0
2250,1962949,22,13,1991,5,female,10.0,1,0,0,0,0,0,0,0,0.0
2253,2129332,22,25,1991,6,female,238.0,1,1,0,0,0,0,0,0,1.0
2260,1058606,22,27,1991,8,female,299.0,1,1,0,0,0,0,0,0,1.0
2261,1714812,22,7,1991,8,female,236.0,1,0,0,0,0,0,0,0,0.0
2263,1689943,22,2,1991,9,female,416.0,1,0,0,0,0,0,0,0,0.0
2266,1588536,22,18,1991,9,female,286.0,1,0,0,0,0,0,0,0,0.0
2267,1089127,22,17,1991,10,female,449.0,1,1,0,0,0,0,0,0,1.0
2270,1958739,24,10,1989,11,female,556.0,1,0,0,0,0,0,0,0,0.0
2275,1909000,24,24,1989,12,female,364.0,1,1,0,1,0,0,0,1,1.0
2279,1170268,23,11,1990,1,female,353.0,1,1,0,0,0,0,0,0,1.0
2283,1619993,23,1,1990,1,female,1129.0,1,1,0,0,0,0,0,0,1.0
2297,1685509,23,9,1990,2,female,29.0,1,0,0,0,0,0,0,0,0.0
2298,2108934,23,1,1990,2,female,17.0,1,0,0,0,0,0,0,0,0.0
2299,1648606,23,24,1990,3,female,361.0,1,0,0,0,0,0,0,0,0.0
2303,2189449,23,4,1990,3,female,67.0,1,1,0,0,0,0,0,0,1.0
2305,1297965,23,19,1990,4,female,728.0,1,1,0,0,0,0,0,0,1.0
2306,1252725,23,7,1990,4,female,416.0,1,1,0,0,0,0,0,0,1.0
2307,1255478,23,13,1990,4,female,382.0,1,1,0,0,0,0,0,0,1.0
2312,1772890,23,11,1990,4,female,174.0,1,0,0,3,0,3,0,0,0.0
2317,1619056,23,21,1990,5,female,370.0,1,1,0,0,0,0,0,0,1.0
2321,2032033,23,14,1990,6,female,203.0,1,1,0,0,0,0,0,0,1.0
2322,1240043,23,22,1990,6,female,133.0,1,0,0,0,0,0,0,0,0.0
2324,1227162,23,6,1990,6,female,57.0,1,0,0,0,0,0,0,0,0.0
2329,1418453,23,1,1990,7,female,105.0,1,0,0,0,0,0,0,0,0.0
2330,1186303,23,21,1990,8,female,740.0,1,1,0,0,0,0,0,0,1.0
2334,1571422,23,21,1990,9,female,602.0,1,0,0,0,0,0,0,0,0.0
2337,1471697,23,30,1990,9,female,191.0,1,1,0,9,0,1,0,8,1.0
2347,1991281,25,6,1988,12,female,369.0,1,1,0,3,0,0,0,3,1.0
2353,1863267,24,1,1989,1,female,460.0,1,1,0,0,0,0,0,0,1.0
2357,1848835,24,21,1989,3,female,212.0,1,0,0,0,0,0,0,0,0.0
2359,2087584,24,12,1989,4,female,282.0,1,1,0,0,0,0,0,0,1.0
2363,1279838,24,21,1989,5,female,373.0,1,1,0,0,0,0,0,0,1.0
2370,2038693,24,11,1989,7,female,183.0,1,0,0,0,0,0,0,0,0.0
2373,2126276,24,1,1989,7,female,817.0,1,1,0,0,0,0,0,0,1.0
2379,1091261,26,12,1987,11,female,31.0,1,1,0,0,0,0,0,0,1.0
2381,1822447,26,13,1987,12,female,271.0,1,1,0,1,0,0,0,1,1.0
2401,2052444,25,1,1988,1,female,147.0,1,1,0,0,0,0,0,0,1.0
2404,2115292,25,1,1988,1,female,126.0,1,1,0,0,0,0,0,0,1.0
2414,1456140,25,1,1988,1,female,1.0,1,1,0,18,0,6,0,12,1.0
2426,1073631,25,14,1988,5,female,185.0,1,0,0,0,0,0,0,0,0.0
2428,1032940,25,16,1988,5,female,149.0,1,1,0,0,0,0,0,0,1.0
2432,2046780,25,20,1988,7,female,390.0,1,0,0,0,0,0,0,0,0.0
2436,2138638,25,29,1988,8,female,541.0,1,1,0,1,0,1,0,0,1.0
2438,1841599,25,9,1988,8,female,367.0,1,1,0,0,0,0,0,0,1.0
2441,1159319,25,20,1988,8,female,150.0,1,1,0,0,0,0,0,0,1.0
2442,1912520,25,5,1988,8,female,104.0,1,1,0,0,0,0,0,0,1.0
2443,1709109,25,4,1988,10,female,660.0,1,1,0,0,0,0,0,0,1.0
2448,1133870,27,20,1986,11,female,493.0,1,0,0,0,0,0,0,0,0.0
2451,1054546,26,1,1987,1,female,596.0,1,0,0,0,0,0,0,0,0.0
2452,2112706,26,1,1987,1,female,572.0,1,0,0,0,0,0,0,0,0.0
2462,2010898,26,4,1987,2,female,61.0,1,1,0,0,0,0,0,0,1.0
2475,1908336,26,16,1987,8,female,126.0,1,0,0,0,0,0,0,0,0.0
2477,1871315,26,10,1987,9,female,356.0,1,0,0,0,0,0,0,0,0.0
2478,1078147,26,25,1987,10,female,750.0,1,1,0,0,0,0,0,0,1.0
2479,1470558,26,31,1987,10,female,376.0,1,1,0,0,0,0,0,0,1.0
2480,1726829,26,15,1987,10,female,266.0,1,0,0,0,0,0,0,0,0.0
2491,2153510,27,10,1986,2,female,303.0,1,0,0,0,0,0,0,0,0.0
2493,1191230,27,5,1986,2,female,20.0,1,1,0,0,0,0,0,0,1.0
2494,1321079,27,1,1986,2,female,19.0,1,1,0,0,0,0,0,0,1.0
2503,2106153,27,16,1986,5,female,334.0,1,1,0,0,0,0,0,0,1.0
2506,2077245,27,1,1986,5,female,13.0,1,1,0,0,0,0,0,0,1.0
2507,1876234,27,15,1986,6,female,413.0,1,1,0,0,0,0,0,0,1.0
2508,1047774,27,6,1986,6,female,283.0,1,1,0,0,0,0,0,0,1.0
2513,2008671,27,15,1986,9,female,168.0,1,0,0,0,0,0,0,0,0.0
2519,1898364,29,31,1984,12,female,592.0,1,0,0,0,0,0,0,0,0.0
2521,1239094,29,18,1984,12,female,43.0,1,0,0,0,0,0,0,0,0.0
2526,2178827,28,1,1985,1,female,903.0,1,0,0,0,0,0,0,0,0.0
2530,1233204,28,11,1985,2,female,378.0,1,0,0,0,0,0,0,0,0.0
2532,1030007,28,3,1985,2,female,81.0,1,1,0,0,0,0,0,0,1.0
2538,2138497,28,11,1985,3,female,345.0,1,0,0,0,0,0,0,0,0.0
2543,2181836,28,10,1985,4,female,142.0,1,0,0,0,0,0,0,0,0.0
2544,2076636,28,26,1985,4,female,34.0,1,0,0,0,0,0,0,0,0.0
2545,1705485,28,20,1985,5,female,435.0,1,0,0,0,0,0,0,0,0.0
2550,1337776,28,21,1985,6,female,504.0,1,1,0,0,0,0,0,0,1.0
2558,1828213,28,14,1985,9,female,111.0,1,1,0,0,0,0,0,0,1.0
2561,1554794,28,1,1985,9,female,27.0,1,0,0,0,0,0,0,0,0.0
2562,1294813,28,27,1985,10,female,396.0,1,0,0,0,0,0,0,0,0.0
2563,2094736,28,6,1985,10,female,486.0,1,1,0,0,0,0,0,0,1.0
2568,1659557,28,1,1985,11,female,252.0,1,0,0,0,0,0,0,0,0.0
2569,2020312,30,4,1983,11,female,128.0,1,1,0,0,0,0,0,0,1.0
2573,1557805,29,29,1984,1,female,312.0,1,0,0,0,0,0,0,0,0.0
2577,1986756,29,3,1984,2,female,571.0,1,0,0,0,0,0,0,0,0.0
2578,1661425,29,4,1984,2,female,462.0,1,1,0,0,0,0,0,0,1.0
2582,1713256,29,5,1984,3,female,310.0,1,0,0,0,0,0,0,0,0.0
2583,1620691,29,6,1984,3,female,6.0,1,1,0,0,0,0,0,0,1.0
2585,1502327,29,4,1984,4,female,566.0,1,0,0,0,0,0,0,0,0.0
2586,1823787,29,16,1984,4,female,364.0,1,1,0,0,0,0,0,0,1.0
2589,1058925,29,21,1984,4,female,179.0,1,1,0,0,0,0,0,0,1.0
2597,1419539,29,13,1984,9,female,200.0,1,1,0,0,0,0,0,0,1.0
2601,1592808,29,4,1984,10,female,16.0,1,1,0,1,0,1,0,0,1.0
2606,1779223,31,23,1982,12,female,263.0,1,1,0,0,0,0,0,0,1.0
2608,1879238,30,3,1983,1,female,621.0,1,0,0,0,0,0,0,0,0.0
2613,1147998,30,19,1983,2,female,274.0,1,0,0,0,0,0,0,0,0.0
2616,1006042,30,3,1983,3,female,369.0,1,1,0,0,0,0,0,0,1.0
2623,1008993,30,9,1983,6,female,272.0,1,0,0,0,0,0,0,0,0.0
2627,1616921,30,7,1983,6,female,277.0,1,1,0,0,0,0,0,0,1.0
2631,1789647,30,11,1983,8,female,31.0,1,0,0,0,0,0,0,0,0.0
2636,1192651,31,24,1982,1,female,142.0,1,0,0,0,0,0,0,0,0.0
2638,1036393,31,1,1982,1,female,508.0,1,1,0,0,0,0,0,0,1.0
2640,1403971,31,14,1982,2,female,628.0,1,1,0,0,0,0,0,0,1.0
2641,1168415,31,28,1982,2,female,517.0,1,0,0,0,0,0,0,0,0.0
2643,2057550,31,4,1982,2,female,260.0,1,1,0,0,0,0,0,0,1.0
2645,2120327,31,23,1982,3,female,408.0,1,1,0,0,0,0,0,0,1.0
2646,1933622,31,20,1982,3,female,352.0,1,1,0,0,0,0,0,0,1.0
2649,1028750,31,24,1982,4,female,1.0,1,1,0,0,0,0,0,0,1.0
2650,2035474,31,20,1982,5,female,341.0,1,1,0,0,0,0,0,0,1.0
2655,1478128,31,5,1982,7,female,95.0,1,1,0,0,0,0,0,0,1.0
2658,1549213,31,20,1982,9,female,525.0,1,0,0,0,0,0,0,0,0.0
2664,1035589,33,5,1980,12,female,238.0,1,1,0,0,0,0,0,0,1.0
2669,1683980,32,14,1981,1,female,284.0,1,1,0,0,0,0,0,0,1.0
2671,1269533,32,7,1981,2,female,343.0,1,1,0,0,0,0,0,0,1.0
2672,1028528,32,14,1981,2,female,273.0,1,1,0,1,0,0,0,1,1.0
2673,1050498,32,1,1981,2,female,110.0,1,1,0,0,0,0,0,0,1.0
2689,2081943,32,29,1981,8,female,17.0,1,1,0,0,0,0,0,0,1.0
2691,1023896,34,4,1979,11,female,376.0,1,1,0,0,0,0,0,0,1.0
2697,1980392,34,12,1979,12,female,21.0,1,1,0,0,0,0,0,0,1.0
2702,1676957,33,12,1980,1,female,379.0,1,0,0,0,0,0,0,0,0.0
2705,2026901,33,1,1980,1,female,338.0,1,1,0,0,0,0,0,0,1.0
2706,1616469,33,1,1980,1,female,58.0,1,1,0,1,0,0,0,1,1.0
2710,1380308,33,15,1980,3,female,438.0,1,0,0,0,0,0,0,0,0.0
2712,1605944,33,12,1980,3,female,318.0,1,1,0,0,0,0,0,0,1.0
2715,1535922,33,12,1980,4,female,394.0,1,1,0,0,0,0,0,0,1.0
2717,1629811,33,2,1980,5,female,542.0,1,1,0,0,0,0,0,0,1.0
2719,1325562,33,17,1980,6,female,137.0,1,0,0,0,0,0,0,0,0.0
2722,1544778,33,9,1980,7,female,425.0,1,1,0,0,0,0,0,0,1.0
2724,1192283,33,3,1980,7,female,391.0,1,0,0,0,0,0,0,0,0.0
2730,1100335,33,31,1980,8,female,517.0,1,1,0,0,0,0,0,0,1.0
2734,1329090,35,21,1978,11,female,193.0,1,1,0,0,0,0,0,0,1.0
2739,1841355,34,2,1979,2,female,200.0,1,1,0,0,0,0,0,0,1.0
2751,1631945,34,7,1979,9,female,77.0,1,1,0,0,0,0,0,0,1.0
2753,1919892,34,31,1979,10,female,78.0,1,0,0,0,0,0,0,0,0.0
2754,1801000,36,4,1977,11,female,500.0,1,1,0,0,0,0,0,0,1.0
2761,1258952,35,1,1978,1,female,517.0,1,0,0,0,0,0,0,0,0.0
2762,1774045,35,1,1978,1,female,119.0,1,1,0,0,0,0,0,0,1.0
2772,1977651,35,13,1978,7,female,176.0,1,1,0,0,0,0,0,0,1.0
2780,1867027,36,15,1977,1,female,105.0,1,1,0,0,0,0,0,0,1.0
2785,1832706,36,8,1977,4,female,742.0,1,1,0,0,0,0,0,0,1.0
2794,2134746,36,29,1977,7,female,415.0,1,1,0,0,0,0,0,0,1.0
2795,1746735,36,25,1977,9,female,413.0,1,1,0,0,0,0,0,0,1.0
2800,1503425,37,24,1976,1,female,733.0,1,1,0,0,0,0,0,0,1.0
2803,1029004,37,6,1976,2,female,423.0,1,1,0,0,0,0,0,0,1.0
2808,1134247,37,14,1976,6,female,297.0,1,1,0,0,0,0,0,0,1.0
2809,1178549,37,1,1976,6,female,479.0,1,0,0,0,0,0,0,0,0.0
2810,1272561,37,11,1976,7,female,481.0,1,1,0,0,0,0,0,0,1.0
2812,1889826,37,9,1976,9,female,450.0,1,0,0,0,0,0,0,0,0.0
2818,2097400,39,31,1974,12,female,472.0,1,0,0,0,0,0,0,0,0.0
2819,2060486,39,11,1974,12,female,377.0,1,1,0,0,0,0,0,0,1.0
2821,1348408,38,2,1975,2,female,897.0,1,1,0,0,0,0,0,0,1.0
2823,1641028,38,6,1975,2,female,470.0,1,0,0,0,0,0,0,0,0.0
2841,1465962,39,6,1974,3,female,426.0,1,1,0,0,0,0,0,0,1.0
2842,1026796,39,25,1974,5,female,516.0,1,0,0,0,0,0,0,0,0.0
2843,1751035,39,2,1974,6,female,350.0,1,1,0,0,0,0,0,0,1.0
2847,1865044,41,24,1972,12,female,177.0,1,0,0,0,0,0,0,0,0.0
2849,1316088,40,13,1973,1,female,686.0,1,1,0,0,0,0,0,0,1.0
2851,1855331,40,21,1973,2,female,539.0,1,0,0,0,0,0,0,0,0.0
2852,1517160,40,16,1973,2,female,21.0,1,0,0,0,0,0,0,0,0.0
2860,1962572,40,6,1973,10,female,38.0,1,1,0,0,0,0,0,0,1.0
2862,1663269,42,25,1971,11,female,359.0,1,1,0,0,0,0,0,0,1.0
2866,1719794,41,23,1972,3,female,233.0,1,1,0,0,0,0,0,0,1.0
2867,1002347,41,9,1972,3,female,153.0,1,0,0,0,0,0,0,0,0.0
2884,1512690,42,22,1971,3,female,330.0,1,1,0,0,0,0,0,0,1.0
2886,1802191,42,4,1971,4,female,279.0,1,1,0,0,0,0,0,0,1.0
2896,1480308,42,2,1971,9,female,60.0,1,1,0,0,0,0,0,0,1.0
2904,1514876,43,10,1970,1,female,675.0,1,1,0,0,0,0,0,0,1.0
2905,1593766,43,24,1970,1,female,395.0,1,1,0,0,0,0,0,0,1.0
2913,1595904,43,1,1970,3,female,491.0,1,1,0,0,0,0,0,0,1.0
2917,1386861,43,28,1970,5,female,316.0,1,0,0,0,0,0,0,0,0.0
2920,1936755,43,30,1970,7,female,684.0,1,1,0,0,0,0,0,0,1.0
2935,2184892,46,26,1967,11,female,372.0,1,1,0,0,0,0,0,0,1.0
2938,1969183,46,1,1967,12,female,417.0,1,1,0,0,0,0,0,0,1.0
2942,2145630,45,14,1968,3,female,489.0,1,1,0,0,0,0,0,0,1.0
2961,1494678,46,21,1967,7,female,70.0,1,1,0,0,0,0,0,0,1.0
2969,1050946,47,26,1966,8,female,612.0,1,1,0,0,0,0,0,0,1.0
2970,1044133,47,21,1966,8,female,424.0,1,0,0,0,0,0,0,0,0.0
2971,1575266,47,24,1966,9,female,35.0,1,1,0,0,0,0,0,0,1.0
2977,1747960,48,19,1965,1,female,537.0,1,0,0,0,0,0,0,0,0.0
2988,1302914,48,1,1965,9,female,407.0,1,1,0,5,0,5,0,0,1.0
2995,1217548,48,16,1965,10,female,3.0,1,0,0,0,0,0,0,0,0.0
3005,1157329,49,9,1964,10,female,631.0,1,0,0,0,0,0,0,0,0.0
3006,1867032,49,21,1964,10,female,23.0,1,0,0,0,0,0,0,0,0.0
3008,1935575,51,9,1962,11,female,166.0,1,1,0,0,0,0,0,0,1.0
3011,1986508,50,14,1963,2,female,704.0,1,0,0,0,0,0,0,0,0.0
3016,1638091,50,25,1963,8,female,558.0,1,1,0,0,0,0,0,0,1.0
3023,2050745,52,13,1961,11,female,93.0,1,1,0,1,0,1,0,0,1.0
3024,1101492,51,25,1962,4,female,103.0,1,1,0,0,0,0,0,0,1.0
3025,2098380,51,26,1962,5,female,668.0,1,0,0,0,0,0,0,0,0.0
3029,1712733,52,19,1961,3,female,397.0,1,0,0,0,0,0,0,0,0.0
3032,1164528,52,20,1961,10,female,345.0,1,1,0,0,0,0,0,0,1.0
3039,1115170,53,18,1960,1,female,26.0,1,0,0,0,0,0,0,0,0.0
3044,1800241,54,26,1959,2,female,712.0,1,1,0,0,0,0,0,0,1.0
3046,1929023,54,25,1959,4,female,217.0,1,1,0,0,0,0,0,0,1.0
3050,1286264,54,16,1959,7,female,644.0,1,1,0,0,0,0,0,0,1.0
3051,1455851,54,28,1959,8,female,355.0,1,1,0,0,0,0,0,0,1.0
3059,1502603,55,27,1958,7,female,12.0,1,1,0,0,0,0,0,0,1.0
3065,2190624,57,17,1956,1,female,381.0,1,1,0,0,0,0,0,0,1.0
3068,1217061,58,9,1955,2,female,117.0,1,1,0,0,0,0,0,0,1.0
3071,2029793,59,25,1954,2,female,411.0,1,1,0,0,0,0,0,0,1.0
3074,1225881,59,13,1954,8,female,750.0,1,1,0,0,0,0,0,0,1.0
3075,1031099,59,20,1954,8,female,328.0,1,1,0,0,0,0,0,0,1.0
3081,1391767,60,10,1953,4,female,300.0,1,1,0,0,0,0,0,0,1.0
3083,1136613,61,12,1952,2,female,453.0,1,1,0,0,0,0,0,0,1.0
3091,1059673,63,29,1950,4,female,383.0,1,0,0,0,0,0,0,0,0.0
3092,1771813,63,6,1950,6,female,45.0,1,0,0,0,0,0,0,0,0.0
3095,1232131,65,3,1948,12,female,396.0,1,1,0,0,0,0,0,0,1.0
3097,1478244,64,10,1949,10,female,997.0,1,1,0,0,0,0,0,0,1.0
3098,2058957,66,15,1947,12,female,635.0,1,0,0,0,0,0,0,0,0.0
3113,1210993,69,1,1944,7,female,349.0,1,1,0,0,0,0,0,0,1.0
3115,1786510,72,9,1941,7,female,4.0,1,1,0,0,0,0,0,0,1.0
3121,1411491,76,20,1937,1,female,1281.0,1,1,0,0,0,0,0,0,1.0
3122,1627953,77,20,1936,5,female,102.0,1,1,0,0,0,0,0,0,1.0
3124,2120053,82,15,1931,11,female,600.0,1,0,0,0,0,0,0,0,0.0
3135,1029865,17,28,1996,10,female,416.0,1,1,1,0,0,0,1,0,1.0
3136,1673242,18,29,1995,3,female,6.0,1,1,1,0,0,0,1,0,1.0
3137,1058959,19,3,1994,2,female,442.0,1,1,1,0,0,0,1,0,1.0
3138,1156110,19,3,1994,4,female,365.0,1,1,1,0,0,0,1,0,1.0
3145,2054700,22,12,1991,6,female,370.0,1,1,1,0,0,0,1,0,1.0
3149,2097384,23,5,1990,8,female,539.0,1,1,1,0,0,0,1,0,1.0
3150,1039323,24,16,1989,5,female,410.0,1,1,1,0,0,0,1,0,1.0
3153,1190207,25,1,1988,1,female,19.0,1,1,1,0,0,0,1,0,1.0
3155,1182373,26,1,1987,1,female,336.0,1,1,1,0,0,0,1,0,1.0
3156,1276709,26,3,1987,8,female,549.0,1,1,1,0,0,0,1,0,1.0
3157,2163160,28,1,1985,4,female,565.0,1,0,1,0,0,0,1,0,0.0
3167,1589792,52,7,1961,2,female,190.0,1,1,1,0,0,0,1,0,1.0
3168,1402245,54,20,1959,12,female,646.0,1,1,1,0,0,0,1,0,1.0
3169,2190133,53,22,1960,9,female,403.0,1,0,1,0,0,0,1,0,0.0
3171,1607236,57,6,1956,12,female,9.0,1,1,1,0,0,0,1,0,1.0
3173,1665972,63,24,1950,10,female,252.0,1,1,1,0,0,0,1,0,1.0
3174,1612917,85,7,1928,10,female,43.0,1,1,1,0,0,0,1,0,1.0
3176,1009904,25,1,1988,1,female,20.0,1,0,1,1,0,0,1,1,0.0
3183,1169220,56,5,1957,1,female,53.0,1,0,1,1,0,0,1,1,0.0
3185,1927105,20,1,1993,9,female,280.0,1,0,1,2,0,0,1,2,0.0
3188,1628656,28,28,1985,12,female,857.0,1,0,1,10,0,0,1,10,0.0
3190,1097072,31,27,1982,8,female,665.0,1,0,1,2,0,0,1,2,0.0
